time,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Paraná,Paraíba,Pará,Pernambuco,Piauí,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondônia,Roraima,Santa Catarina,Sergipe,São Paulo,Tocantins
1989,0.547704719,2.458330276,0.764695186,7.521878607,19.2211499,6.55462169,6.552041576,7.234426238,6.185994032,3.307274326,3.579948446,3.979650229,40.74379624,26.68072567,2.963916327,8.796031579,10.75133568,1.59104821,3.208654314,34.82903391,43.90352554,2.266060783,0.447835142,17.83700257,2.308751561,160.7372301,0.622647505
1990,15.99639309,81.60226627,18.59140125,210.0455169,518.9828251,187.0200214,186.0507524,191.5141207,202.4104274,92.15262193,96.41123377,110.8383314,1073.399121,732.789965,97.62114576,237.6548727,307.093528,51.7282078,82.94909177,939.3634047,1253.944054,56.56858923,12.95052766,431.2081162,66.39839063,4275.247452,18.26216825
1991,80.80820123,428.9000432,96.91090206,1015.38191,2652.432271,1103.797982,1396.036917,998.6262934,1135.898599,490.4672007,550.6545555,596.0696087,5739.658633,3541.521187,509.8428547,1227.826487,1742.172821,274.7138444,473.2399021,4666.959019,7401.138508,254.0620181,56.54765116,2105.983555,385.3315946,21251.50101,109.515708
1992,928.0680459,4630.854661,1125.864717,10138.26866,28114.11123,11750.97675,12978.01217,10802.93283,11199.89492,5166.841776,6108.859026,6042.367324,61167.6043,37570.8332,4754.62722,11326.31156,17090.33945,2644.460326,4599.257024,54964.96058,77384.96344,2550.129812,545.7809317,24784.5575,4056.692304,227461.6773,1069.520619
1993,20105.63289,93464.35972,23048.07566,266842.2454,611119.1179,256992.4611,272431.2859,232453.8199,257273.9551,109844.6715,149987.3114,136570.9227,1329216.374,834458.8691,106898.9397,332685.0818,363539.7189,63230.96908,109454.5822,1260808.219,1659391.978,62153.62827,9591.466569,501168.5879,92531.71543,4916925.143,24925.04919
1994,548356.3313,2386299.951,624582.2361,5878452.277,14972456.45,6583971.088,6778008.796,6369394.966,6810241.493,2861414.609,3860943.495,3847512.684,34750782.04,21303823.91,2835824.428,8285513.324,9038806.661,1614582.586,2613305.378,31129217.22,39611125.26,1523778.863,238458.854,12780147.26,2042038.91,119252732.5,662907.3973
1995,1237096.725,4656515.994,1506572.834,10069421.18,26427274.23,13740241.69,31133118.64,14059095.24,14461405.84,6390133.836,7319242.991,6427630.907,60929910.78,40193724.65,5182868.081,10998290.68,16211814.71,3584474.723,4943648.552,49879354.7,78944953.66,3136548.484,1004243.607,24231134.85,3833370.885,263298461.8,1840341.806
1996,1459645.547,5369180.034,1819439.914,12495041.42,32430856.07,17149445.2,38656726.6,16007846.84,17722630.22,8482394.18,8647560.732,7721995.845,74151755.85,48199433.68,6434187.13,13355231.68,19997450.7,4359145.971,6279544.042,58807374.76,94684066.67,3845128.157,1187585.231,29891812.92,4720442.255,307924113.2,2165596.516
1997,1555306.521,6214731.155,2030049.846,12572250.22,36528096.93,18537642.82,43800561.47,17733917.02,19825070.24,9249485.071,10068521.72,8711204.989,82801477.67,53014378.37,7205361.826,14311879.81,21989185.26,4732517.482,7101548.363,64991308.69,104424109.0,4488220.008,1284108.22,33194430.11,5422379.069,344890877.3,2467997.68
1998,1694328.657,6676333.165,2038322.541,13198509.85,37838126.0,19219949.45,47286595.8,18394274.69,21120127.89,9380513.109,10566971.1,9272270.475,83924488.19,57100728.0,7646868.386,15091455.23,23270814.37,4950422.223,7320394.214,67673124.64,114177719.9,4798717.019,1347030.097,33818977.84,5597441.18,353085089.7,2786155.149
1999,1866542.316,6935079.503,2128307.033,13933920.08,41883129.02,20733661.55,48619189.39,19842972.61,22191345.55,10308256.16,12364904.96,10172207.95,89789781.72,63389042.27,8397432.445,16503978.55,24878853.99,5381138.667,8117166.748,74015781.63,127218907.8,5399619.044,1569596.587,37151230.05,5942400.086,383249570.9,3015695.225
2000,2154284.485,7768753.702,2357035.636,16749755.08,46523212.32,22607131.41,46474890.26,23248586.26,26249030.74,11908911.65,14870532.68,11320383.16,100612292.9,69130749.09,9337554.266,19050189.09,26959112.38,6062725.667,9119808.497,81814713.67,139754794.7,5946137.705,1776655.569,43311914.37,6539803.215,424161313.5,3671728.026
2001,2475169.496,8488146.132,2801925.026,18050376.83,51095879.58,24532751.18,51523398.38,24333663.3,29914136.3,13419658.02,16309976.23,13151446.2,111315303.9,76413389.96,10848553.1,22321475.27,30245003.46,6472664.103,10343403.58,92310147.15,152099027.8,6548811.407,2033141.428,48748284.57,8018927.573,463478076.1,4843263.94
2002,2971301.0,11536853.0,3173343.0,22093338.0,58842976.0,28718840.0,53902200.0,27048997.0,38629365.0,15924003.0,19190653.0,16440424.0,124071066.0,88235715.0,12747021.0,26482159.0,36056032.0,7122635.0,13566803.0,98847211.0,184310915.0,7467630.0,2392033.0,54481893.0,10332494.0,518878815.0,5322563.0
2003,3377234.0,12624030.0,3413195.0,25862134.0,67174227.0,32687418.0,58456124.0,31519106.0,45557889.0,19502900.0,26697097.0,21846566.0,144189094.0,110039414.0,14737920.0,30270152.0,38815845.0,8414901.0,14865441.0,119325399.0,202640789.0,9425010.0,2594081.0,64098475.0,11749574.0,591454032.0,6612339.0
